id,sourceUrl,originalSourceUrl,name_en,name_ru,name_tg,gender,category,subCategory,tags_en,tags_ru,tags_tg,description_en,description_ru,description_tg
item-retouched-1760703051718-3,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760703051718-3.jpg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760703051718-3.jpg,Serene Satin Mermaid Wedding Gown,Изысканное атласное свадебное платье-русалка,Либоси арӯсии атласии обдуздаки боҳашамат,female,Свадебные,Wedding Dress,wedding; bridal; gown; mermaid; off-shoulder; satin; sheer sleeves; long train; elegant; romantic; white; formal; sophisticated,свадебное; платье; невеста; русалка; открытые плечи; атлас; прозрачные рукава; длинный шлейф; элегантное; романтичное; белое; вечернее; изысканное,арӯсӣ; либос; келин; обдуздак; китфҳои луч; атлас; остинҳои шаффоф; шлейфи дароз; зебо; ошиқона; сафед; расмӣ; боҳашамат,"An exquisite off-shoulder mermaid wedding gown crafted from luxurious satin, gracefully flowing to highlight the silhouette. Delicate sheer sleeves extend into an ethereal train, offering a blend of modern elegance and timeless romance for the perfect bridal statement.","Изысканное свадебное платье-русалка с открытыми плечами, выполненное из роскошного атласа, изящно подчеркивает фигуру. Нежные прозрачные рукава переходят в воздушный шлейф, создавая образ, сочетающий современную элегантность и вечную романтику для идеального свадебного торжества.","Либоси арӯсии обдуздаки боҳашамат бо китфҳои луч, ки аз атласи олӣ сохта шудааст, ба таври зебо силуэтро таъкид мекунад. Остинҳои шаффофи нозук ба шлейфи ҳавоӣ мегузаранд, ки омезиши зебогии муосир ва ошиқонаи абадӣ барои як намуди комили арӯсиро пешкаш мекунад."
item-retouched-1760703010813-2,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760703010813-2.jpg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760703010813-2.jpg,Wedding Dress with Ruffled Train,Свадебное платье с пышным шлейфом,Либоси арӯсӣ бо домани бисёрқабата,female,Свадебные,Wedding Dress,wedding dress; bridal gown; white; lace; tulle; ruffled; tiered skirt; mermaid silhouette; elegant; luxurious; chapel veil,свадебное платье; подвенечное платье; белое; кружево; фатин; оборки; многоярусная юбка; силуэт русалка; элегантное; роскошное; фата,либоси арӯсӣ; либоси арӯсӣ; сафед; тӯрӣ; фатин; домани қабат-қабат; юбкаи бисёрқабата; силуэти моҳӣ; зебо; боҳашамат; тӯри арӯсӣ,"An exquisite bridal gown featuring a delicate lace bodice, a flattering mermaid silhouette, and a dramatic tiered tulle overskirt that flows into a majestic train, perfect for a grand celebration.","Изысканное свадебное платье с нежным кружевным корсажем, облегающим силуэтом ""русалка"" и эффектной многоярусной фатиновой юбкой-шлейфом, идеальное для великолепного торжества.","Либоси арӯсии боҳашамат бо қисми болоии аз тӯрӣ, силуэти зебои моҳӣ ва домани боҳашамати фатинии бисёрқабата, ки ба думчаи дароз мегузарад, барои ҷашни бошукӯҳ мувофиқ аст."
item-retouched-1760702889444-0,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760702889444-0.png,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760702889444-0.png,Tajik Wedding Gown with Gold Embroidery,Таджикское свадебное платье с золотой вышивкой,Либоси арӯсии тоҷикӣ бо гулдузии тиллоӣ,female,Свадебные,Wedding Gown,Tajik; traditional; wedding gown; gold embroidery; white; ceremonial; festive; national costume; elegant; long sleeve; cap; headpiece; cultural,Таджикский; традиционный; свадебное платье; золотая вышивка; белый; церемониальный; праздничный; национальный костюм; элегантный; длинный рукав; головной убор; тюбетейка; культурный,Тоҷикӣ; анъанавӣ; либоси арӯсӣ; гулдузии тиллоӣ; сафед; маросимӣ; идона; либоси миллӣ; зебо; остиндароз; тоқӣ; сарпӯш; фарҳангӣ,"An exquisite Tajik wedding gown, featuring rich golden embroidery on pristine white fabric. This elegant ceremonial dress embodies timeless tradition and intricate craftsmanship, perfectly complemented by a matching traditional cap, making it ideal for a grand celebration.","Изысканное таджикское свадебное платье, украшенное богатой золотой вышивкой на белоснежной ткани. Это элегантное церемониальное платье воплощает вековые традиции и тонкое мастерство, идеально дополненное соответствующим традиционным головным убором, что делает его идеальным для торжественного празднования.","Либоси зебои арӯсии тоҷикӣ, ки бо гулдузии бойи тиллоӣ дар матои сафеди тоза оро дода шудааст. Ин либоси маросимии шево анъанаҳои безавол ва ҳунармандии дақиқро таҷассум мекунад, ки бо тоқии мувофиқи анъанавӣ комилан пурра шуда, онро барои як ҷашни бошукӯҳ мувофиқ месозад."
item-retouched-1760634825896-38,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634825896-38.jpg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634825896-38.jpg,Plaid Flannel Shirt,Фланелевая рубашка в клетку,Куртаи фланелии чаҳоркунҷа,unisex,Одежда,Flannel Shirt,plaid;checked;flannel;shirt;oversized;casual;long sleeve;black and white;relaxed fit;button-up;two pockets,клетчатая;фланелевая;рубашка;оверсайз;повседневная;с длинным рукавом;черно-белая;свободный крой;на пуговицах;с двумя карманами,чаҳоркунҷа;фланелӣ;курта;оверсайз;ҳаррӯза;остиндароз;сиёҳу сафед;буриши озод;бо тугма;бо ду киса,"A classic monochrome plaid flannel shirt, perfect for a comfortable and stylish casual look. Features a relaxed fit, long sleeves, and practical chest pockets, making it an ideal layering piece for any season.","Классическая монохромная фланелевая рубашка в клетку, идеально подходящая для комфортного и стильного повседневного образа. Отличается свободным кроем, длинными рукавами и практичными нагрудными карманами, что делает ее идеальным элементом многослойного гардероба на любой сезон.","Куртаи фланелии классикии монохромии чаҳоркунҷа, ки барои намуди зоҳирии бароҳат ва услубии ҳаррӯза мувофиқ аст. Бо буриши озод, остинҳои дароз ва кисаҳои амалии сина фарқ мекунад, ки онро барои пӯшидани бисёртабақа дар ҳама фаслҳо мувофиқ месозад."
item-retouched-1760634804742-37,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634804742-37.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634804742-37.jpeg,Men's Classic Trousers,Мужские классические брюки,Шалвари классикии мардона,male,Мужская одежда,Trousers,trousers; pants; classic; formal; black; menswear; office; business; smart,брюки; классические; формальные; черные; мужская одежда; офис; деловые; элегантные,шалвар; классикӣ; расмӣ; сиёҳ; либоси мардона; офис; корӣ; шево,"Elegantly tailored men's classic black trousers, perfect for formal occasions, business wear, or sophisticated everyday style. Featuring a timeless design and a comfortable fit.","Элегантные классические черные мужские брюки, идеально подходящие для официальных мероприятий, делового стиля или изысканного повседневного образа. Отличаются вневременным дизайном и удобной посадкой.","Шалвари классикии мардонаи сиёҳ, ки барои маросимҳои расмӣ, либоси корӣ ё услуби ҳаррӯзаи мураккаб мувофиқ аст. Бо тарҳи бевақт ва муносибати бароҳат фарқ мекунад."
item-retouched-1760634779769-36,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634779769-36.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634779769-36.jpeg,Men's Black Long-Sleeve Dress Shirt,Мужская черная классическая рубашка с длинным рукавом,Куртаи расмии сиёҳи мардонаи дастдароз,male,Мужская одежда,Dress Shirt,black; long-sleeve; dress shirt; formal; elegant; business; classic; button-down; silky; satin,черный; длинный рукав; классическая рубашка; формальный; элегантный; деловой; классический; нарядный; шелковистый; сатин,сиёҳ; дастдароз; куртаи расмӣ; расмӣ; шево; мардона; корӣ; классикӣ; атласӣ,"An elegant black long-sleeve dress shirt, perfect for both formal occasions and stylish casual wear. Its smooth fabric provides a sophisticated look and comfortable feel.","Элегантная черная классическая рубашка с длинным рукавом, идеально подходящая как для торжественных мероприятий, так и для стильного повседневного образа. Гладкая ткань обеспечивает изысканный вид и комфортное ощущение.","Куртаи расмии сиёҳи дастдарози шево, ки ҳам барои маросимҳои расмӣ ва ҳам барои пӯшиши муосири ҳаррӯза мувофиқ аст. Матои ҳамвори он намуди зоҳирии зебо ва ҳисси бароҳатро таъмин менамояд."
item-retouched-1760634755375-35,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634755375-35.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634755375-35.jpeg,Men's Navy Long-Sleeve Shirt,Мужская синяя рубашка с длинным рукавом,Куртаи мардонаи кабуди торик бо остини дароз,male,Мужская одежда,Shirt,shirt; long-sleeve; men's; navy; blue; formal; casual; button-up; business casual; smart casual; collared; embroidered collar,рубашка; мужская; с длинным рукавом; синий; темно-синий; официальный; повседневный; деловой кэжуал; смарт кэжуал; воротник; вышитый воротник,курта; мардона; остиндароз; кабуд; кабуди торик; расмӣ; рӯзмарра; кориву рӯзмарра; расмиву рӯзмарра; гиребон; гиребони гулдӯзӣ,"Elevate your style with this sleek men's navy long-sleeve shirt, featuring subtle embroidered details on the collar for a touch of refined elegance. Perfect for both formal and smart-casual occasions.","Подчеркните свой стиль с помощью этой элегантной мужской темно-синей рубашки с длинным рукавом, украшенной тонкими вышитыми деталями на воротнике для придания изысканности. Идеально подходит как для официальных, так и для деловых повседневных мероприятий.","Бо ин куртаи зебои мардонаи кабуди торик бо остини дароз, ки бо гулдӯзиҳои нозук дар гиребон оро ёфтааст, услуби худро баланд бардоред. Барои мавридҳои расмӣ ва корӣ-рӯзмарра комил аст."
item-retouched-1760634730940-34,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634730940-34.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634730940-34.jpeg,Men's Classic Shirt,Мужская классическая рубашка,Куртаи классикии мардона,male,Мужская одежда,Shirt,shirt; men's shirt; long sleeve; classic; formal; casual; business; light blue; solid color; button-down; office wear; versatile,рубашка; мужская рубашка; длинный рукав; классическая; формальная; повседневная; деловая; светло-голубая; однотонная; на пуговицах; офисная; универсальная,курта; куртаи мардона; дароздӯш; классикӣ; расмӣ; ҳаррӯза; корӣ; кабуди равшан; якранг; тугмадор; либоси офисӣ; бисёрҷониба,"A timeless men's classic long-sleeve shirt in a serene light blue, perfect for both business and smart-casual occasions. Its clean lines and comfortable fit ensure a polished look.","Вечная мужская классическая рубашка с длинными рукавами нежно-голубого цвета, идеально подходящая как для деловых, так и для элегантных повседневных мероприятий. Ее чистые линии и удобная посадка обеспечивают безупречный вид.","Куртаи дароздӯши классикии мардона бо ранги кабуди оромбахш, ки ҳам барои вохӯриҳои корӣ ва ҳам барои мавридҳои ғайрирасмӣ комил аст. Тарҳи муназзам ва дӯзиши бароҳати он намуди зоҳирии зеборо таъмин мекунад."
item-retouched-1760634697726-33,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634697726-33.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634697726-33.jpeg,Men's Lavender Dress Shirt,Мужская сиреневая рубашка,Куртаи мардонаи бунафш,male,Мужская одежда,Dress Shirt,lavender;purple;dress shirt;men's shirt;formal;long sleeve;button-up;business;smart casual;light purple;office wear;classic;twill,сиреневый;фиолетовый;рубашка;мужская рубашка;деловой;официальный;с длинным рукавом;на пуговицах;офисная одежда;классика;саржа,бунафш;арғувонӣ;курта;куртаи мардона;расмӣ;бо остин дароз;тугмадор;офиси;классикӣ;сарча,"An elegant men's lavender dress shirt, perfect for formal occasions or sophisticated business wear. Its classic design and subtle texture offer timeless style.","Элегантная мужская сиреневая рубашка, идеальная для официальных мероприятий или делового стиля. Ее классический дизайн и тонкая текстура придают вневременной вид.","Куртаи расмии мардонаи бунафши зебо, ки барои мавридҳои расмӣ ё либоси тиҷоратии муосир мувофиқ аст. Тарҳи классикӣ ва бофтаи нозуки он услуби бевақтро пешниҳод мекунад."
item-retouched-1760634627904-30,https://raw.githubusercontent.com/davidov-robert/zto-photo/main/images/item-retouched-1760634627904-30.jpeg,https://raw.githubusercontent.com/davidov-robert/zto-photo-originals/main/images/item-retouched-1760634627904-30.jpeg,Knitted Checkerboard Necktie,Вязаный галстук в клетку,Галстуки трикотажии шашкамонанд,male,Мужская одежда,Necktie,knitted;necktie;tie;checkerboard;black and white;pattern;formal;accessory;men's fashion;classic;geometric,вязаный;галстук;клетка;черно-белый;узор;формальный;аксессуар;мужская мода;классический;геометрический,трикотажӣ;галстук;шашка;сиёҳу сафед;нақш;расмӣ;лавозимот;мӯди мардона;классикӣ;геометрӣ,"A stylish knitted necktie featuring a timeless black and white checkerboard pattern, perfect for adding a touch of sophisticated flair to any formal or semi-formal ensemble.","Стильный вязаный галстук с классическим черно-белым узором в клетку, идеально подходящий для придания изысканного шарма любому формальному или полуформальному образу.","Галстуки трикотажии услубӣ бо нақши классикии сиёҳу сафеди шашкамонанд, ки барои илова кардани зебогии мураккаб ба ҳама гуна либоси расмӣ ё нимрасмӣ комил аст."
